"","PU_long","PU_lat","DO_long","DO_lat","Cost","Distance"
"1",-73.898583,40.889248,-74.013664,40.702068,2.75,14.281108084281
"2",-73.85062,40.903125,-73.947642,40.632836,2.75,19.3746520078205
"3",-73.93647,40.82388,-73.884079,40.666235,2.75,11.2447483707937
"4",-73.878751,40.886037,-73.932942,40.668897,2.75,15.2855902011054
"5",-73.830834,40.8883,-73.947642,40.632836,2.75,18.7003788298955
"6",-73.867615,40.857192,-74.004131,40.713065,2.75,12.2681828807434
"7",-73.83003,40.7596,-74.00191,40.755882,2.75,9.00935724520671
"8",-73.987495,40.75529,-73.979189,40.752769,2.75,0.468853492795344
"9",-73.919899,40.868072,-73.755405,40.603995,2.75,20.1987885907353
"10",-73.887138,40.873244,-73.961376,40.577621,2.75,20.8154658883738
"11",-73.940133,40.840556,-73.872106,40.675377,2.75,11.9685911718432
"12",-73.878855,40.874811,-73.981233,40.577422,2.75,21.2591332386702
"13",-73.801109,40.702147,-74.009781,40.712582,2.75,10.9654718559972
"14",-73.783817,40.712646,-73.981233,40.577422,2.75,13.9585921688276
"15",-73.991777,40.6941,-73.949575,40.650843,2.75,3.72218100461801
"16",-73.801109,40.702147,-74.011056,40.706476,2.75,11.0131208240117
"17",-74.002578,40.739777,-73.901741,40.645757,2.75,8.38231353908043
"18",-73.844521,40.721691,-73.951418,40.712792,2.75,5.63800358578208
"19",-73.917843,40.770258,-73.981233,40.577422,2.75,13.7469031738491
"20",-73.972323,40.793919,-73.981233,40.577422,2.75,14.9825404260912
"21",-73.844521,40.721691,-74.023377,40.634967,2.75,11.1361630794979
"22",-73.958131,40.670682,-73.962246,40.661614,2.75,0.663358172240214
"23",-73.815925,40.608382,-73.835592,40.580903,2.75,2.16330020024812
"24",-73.912034,40.775036,-74.012994,40.703087,2.75,7.26402577730593
"25",-73.801109,40.702147,-74.011056,40.706476,2.75,11.0131208240117
